Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
gladis-palythoa-coral-soft-palys,Gladis Palythoa Coral *,Title,Default Title,,,,,T1057,,,5300  S Atlantic Ave,,0,0,0,3,3,
yellow-submarine-favia-coral-lps,Yellow Submarine Favia Coral *,Title,Default Title,,,,,T1058,,,5300  S Atlantic Ave,,0,0,0,1,1,
charizard-dipsastrea-coral-favia,Charizard Dipsastrea Coral *,Title,Default Title,,,,,T1059,,,5300  S Atlantic Ave,,0,0,0,2,2,
dark-purple-protopaly-coral-soft-palys,Dark Purple Protopaly Coral *,Title,Default Title,,,,,T1060,,,5300  S Atlantic Ave,,0,0,0,3,3,
space-invader-pectinia-coral-lps,Space Invader Pectinia Coral *,Title,Default Title,,,,,T1061,,,5300  S Atlantic Ave,,0,0,0,2,2,
rainbow-sherbet-acropora-coral-sps,TSA Rainbow Sherbet Acropora Coral  *,Title,Default Title,,,,,T1062,,,5300  S Atlantic Ave,,0,0,0,3,3,
tft-spine-tingler-acropora-coral-sps,Pink Cadillac Acropora Coral *,Title,Default Title,,,,,T1063,,,5300  S Atlantic Ave,,0,0,0,2,2,
jf-jack-o-lantern-leptoseris-coral,JF Jack o Lantern Leptoseris Coral  *,Title,Default Title,,,,,T1064,,,5300  S Atlantic Ave,,0,0,0,2,2,
nirvana-zoanthid-coral-zoas-soft,Nirvana Zoanthid Coral *,Title,Default Title,,,,,T1068,,,5300  S Atlantic Ave,,0,0,0,2,2,
green-slimmer-acropora-coral-sps,Green Slimmer Acropora Coral,Title,Default Title,,,,,C1011,,,5300  S Atlantic Ave,,0,0,0,2,2,
stellar-stylophora-coral,Stellar Stylophora coral,Title,Default Title,,,,,"",,,5300  S Atlantic Ave,,0,0,0,0,0,
hollywood-nights-goniopora-coral-lps,Hollywood Nights Goniopora Coral,Title,Default Title,,,,,C1054,,,5300  S Atlantic Ave,,0,0,0,0,0,
green-octospawn-coral-euphyllia-lps,Green Octospawn Coral,Title,Default Title,,,,,C1008,,,5300  S Atlantic Ave,,0,0,0,2,2,
gold-nugget-hammer-coral-euphyllia-lps,Gold Nugget Hammer Coral,Title,Default Title,,,,,C1014,,,5300  S Atlantic Ave,,0,0,0,2,2,
21-tails-torch-coral-lps,21 Tails Torch Coral  *,Title,Default Title,,,,,T1022,,,5300  S Atlantic Ave,,0,0,0,2,2,
